few_shot_values,classifier,n_repeats_successful,mean_top1_accuracy,std_top1_accuracy,mean_top2_accuracy,std_top2_accuracy,mean_top3_accuracy,std_top3_accuracy,f1_macro,f1_macro_std,f1_weighted,f1_weighted_std,precision_macro,precision_macro_std,recall_macro,recall_macro_std,specificity_macro,specificity_macro_std,balanced_accuracy,balanced_accuracy_std
1,k-Nearest Neighbours,50,0.21780313425290676,0.03159601551646769,0.2541799667798079,0.030409839570688855,0.38379432368021954,0.03623371295186087,0.19294123485928838,0.01576002912358708,0.2380612157437173,0.038058015077944415,0.2573011300039386,0.02207658232238029,0.30532087138871433,0.02303833489959033,0.9768152162352584,0.0008890647019369388,0.30532087138871433,0.02303833489959033
1,Logistic Regression,50,0.2213345851086878,0.03304788077059583,0.33794251462410635,0.044608723390520355,0.42165451000216647,0.05021512720709142,0.19426791605883456,0.01646710189326356,0.24521591997649017,0.041960799469391435,0.2353273028785859,0.020767069425728264,0.33320403529488934,0.02122467758809357,0.9769757572448613,0.0009065994932402771,0.33320403529488934,0.02122467758809357
2,k-Nearest Neighbours,50,0.22363353700423008,0.03907024829616542,0.38487942441881484,0.04666226304746923,0.47012834881955234,0.034221670504293124,0.1703249370157043,0.01751186234120322,0.21743340159995422,0.03838672380373326,0.2519586234909392,0.024218198013610304,0.27903479247744745,0.019211644099009502,0.976286851338656,0.0009331396600165371,0.27903479247744745,0.019211644099009502
2,Logistic Regression,50,0.30978271087168735,0.031933778696825864,0.45740265374742395,0.03650288172653455,0.5506764525109368,0.03650579587712724,0.2649353386029474,0.01755814845755009,0.34555600539014136,0.038585777217319456,0.2889324060702371,0.020634114174148628,0.4412363266454571,0.02262684900770206,0.9795716175650045,0.0009280216254810074,0.4412363266454571,0.02262684900770206
3,k-Nearest Neighbours,50,0.22466044019693018,0.026931143147326655,0.3817665797856936,0.03184735465044964,0.5118491167101071,0.03537375029951292,0.19684816515826464,0.014886674739451548,0.2226396587779265,0.03449957984149839,0.28881053382157407,0.018845066800557416,0.33028397124900005,0.01863911284353282,0.9765357388475775,0.0007234174087726023,0.33028397124900005,0.01863911284353282
3,Logistic Regression,50,0.3636852012742542,0.031133075342242515,0.518362293657689,0.03702921092031252,0.614231103388358,0.0364181672447439,0.3074663002397548,0.013859000034250384,0.40092450745860136,0.036254199873080324,0.32262521057673377,0.01460845133322683,0.5061460923978547,0.016029080116789968,0.9811538621992564,0.0008914563015740302,0.5061460923978547,0.016029080116789968
5,k-Nearest Neighbours,50,0.27761576426186674,0.02942661510705016,0.4393242850921759,0.029822223811397958,0.555687327623748,0.03087578382566098,0.25093029927526017,0.014725565587484144,0.30448700317780075,0.03828066843054208,0.31536874621605543,0.014598207225064833,0.4020108910495698,0.022428609059020006,0.9785951906588771,0.0008824113676317158,0.4020108910495698,0.022428609059020006
5,Logistic Regression,50,0.43341050950791116,0.02802986832181267,0.5985752649150821,0.027658510892524885,0.692826244737988,0.024759926058515364,0.3672382656451065,0.01273273485206706,0.47508111730897395,0.029769176333311404,0.3706616193679515,0.013142048290592163,0.583684300648521,0.01846832454138194,0.9832097652316442,0.0008046051016076941,0.583684300648521,0.01846832454138194
10,k-Nearest Neighbours,50,0.3576293213594714,0.02544550955739207,0.5284006863067208,0.026774302782868183,0.6382433468404336,0.02652830020307482,0.3209492002593252,0.013809672899932783,0.3942597275080747,0.030618583897361964,0.35805678139587044,0.012479195280134926,0.4994640993299383,0.02436685494559943,0.981003637394677,0.0007368969975755437,0.4994640993299383,0.02436685494559943
10,Logistic Regression,50,0.5344460263570986,0.017453459579948347,0.7015281276238454,0.01597553804658571,0.7858241156499836,0.013861016186567517,0.43680838071172234,0.011428637695712248,0.5748089420458771,0.017103257700648924,0.4233276381105208,0.010386619757304446,0.6692311633365082,0.020366033936173714,0.9861777982985431,0.0005103053563125115,0.6692311633365082,0.020366033936173714
20,k-Nearest Neighbours,50,0.43531775045234666,0.017344788830254674,0.6046202134337727,0.015350788811034754,0.7060957867139324,0.014150329667757368,0.3722346571467245,0.01632972601280028,0.47312549480466387,0.019744680920181747,0.39052454026475547,0.014518366643690678,0.558664039323074,0.024560434132006197,0.9831903319443124,0.0004968437207756753,0.558664039323074,0.024560434132006197
20,Logistic Regression,50,0.6160127026328422,0.013826006839799223,0.7747210221188287,0.012865982305659957,0.8478534766072154,0.011314029672497299,0.4887758571323125,0.012081938826712853,0.6504975366531567,0.014167493609403083,0.4651531779366174,0.012660028826356513,0.7234424678341685,0.022480095741838367,0.9885700606433859,0.0004121122593324427,0.7234424678341685,0.022480095741838367
