few_shot_values,classifier,n_repeats_successful,mean_top1_accuracy,std_top1_accuracy,mean_top2_accuracy,std_top2_accuracy,mean_top3_accuracy,std_top3_accuracy,f1_macro,f1_macro_std,f1_weighted,f1_weighted_std,precision_macro,precision_macro_std,recall_macro,recall_macro_std,specificity_macro,specificity_macro_std,balanced_accuracy,balanced_accuracy_std
1,k-Nearest Neighbours,50,0.23457343649694226,0.01943673884847485,0.2527283170591614,0.020188110209173413,0.27395208973882484,0.019292794215784517,0.22855994819846656,0.018657904931292414,0.2281028145510717,0.018772291225333828,0.27050362122789817,0.022069288796378286,0.23514283689131454,0.01954840116557385,0.9843772134341705,0.00039686014114397353,0.23514283689131454,0.01954840116557385
1,Logistic Regression,50,0.24221644085549213,0.014528471443103125,0.34223063148292054,0.01728274023248309,0.4092701963036794,0.018871763262935687,0.23321036098902034,0.01493690031097736,0.2329772189708933,0.015156927846130578,0.2563036507240907,0.018885067582946224,0.24268668872032279,0.01422398492936354,0.984533414198006,0.0002964918012254459,0.24268668872032279,0.01422398492936354
2,k-Nearest Neighbours,50,0.2419332476667117,0.012402532189864646,0.4047588935479508,0.01635127867325536,0.4203763695387529,0.016006691793662247,0.21149339893799227,0.015893739162946483,0.21227901936346533,0.015870328676088234,0.2756239173048668,0.019459789748873003,0.22300591916413987,0.014280340596146567,0.9841681664700888,0.0002902682901831241,0.22300591916413987,0.014280340596146567
2,Logistic Regression,50,0.32061409441363453,0.015221890824105095,0.4387667388069796,0.01687139003486552,0.5125229947247396,0.01794872725317382,0.3149378050178553,0.015057312438617658,0.3146239784079613,0.014820871178038082,0.3326156889162262,0.017074399255731492,0.3217859601474531,0.015610346497098523,0.9861339991186894,0.0003104929459611928,0.3217859601474531,0.015610346497098523
3,k-Nearest Neighbours,50,0.27147324601482387,0.012655905350288547,0.4090997393982469,0.014401865548594055,0.5139858530476866,0.013711511913540789,0.25535993770192095,0.015315301586759872,0.2550590373126736,0.015161616073005446,0.3448389093972317,0.017837672288157254,0.2629435628121409,0.013969610537874039,0.9849686159681726,0.00028357541271675833,0.2629435628121409,0.013969610537874039
3,Logistic Regression,50,0.3723559075371442,0.010570454364923456,0.4956916099773243,0.011894819362895949,0.5707736826073713,0.012304965776503477,0.3681985842374267,0.011415272952783115,0.3676630066884155,0.011434659357680005,0.38230571455221674,0.013265983010407508,0.3733961450645343,0.010435207115809812,0.9871894488083993,0.00021554000728917435,0.3733961450645343,0.010435207115809812
5,k-Nearest Neighbours,50,0.33918127267179715,0.011442649938356817,0.45946706444723195,0.012537449367901136,0.5490012543648506,0.011463577931521148,0.3347833258740729,0.013166391776522034,0.3336817266465995,0.013313008965447546,0.4052673503177751,0.015041304908345406,0.33941747752329776,0.012033891240046798,0.9865152922359093,0.0002497986671586631,0.33941747752329776,0.012033891240046798
5,Logistic Regression,50,0.43569481642200897,0.010426613923380079,0.5660321388615792,0.010591715588641552,0.641045869071431,0.01068875866978224,0.4335574169603618,0.010984240055071771,0.4328118867660521,0.010882629866766354,0.4434231600951577,0.012565423682335921,0.437618710393728,0.010279832363395929,0.9884824947341917,0.0002126542034363474,0.437618710393728,0.010279832363395929
10,k-Nearest Neighbours,50,0.4213206455127332,0.008518825949476318,0.5444787552771347,0.009064421642905596,0.6257050932861229,0.009257876954162341,0.4227553638058369,0.009982709890865454,0.4209906457784336,0.009881127972370396,0.4751172939653418,0.0104463526429397,0.4251134742798973,0.008663735960120565,0.9882387949797766,0.00017509309774928704,0.4251134742798973,0.008663735960120565
10,Logistic Regression,50,0.5100738798856053,0.008100346456178728,0.6428768895546778,0.007560143416915034,0.714431431295111,0.006689717605727366,0.5103707647749682,0.008049197029018988,0.5095006958139658,0.008037575613097208,0.5180075702395964,0.00870170839182284,0.5118592130765087,0.007926361144640546,0.9900002945716945,0.00016526771693688142,0.5118592130765087,0.007926361144640546
20,k-Nearest Neighbours,50,0.49796545566925354,0.004703906387172217,0.618843829407321,0.004854537640839878,0.6911328205480392,0.004774893061730116,0.5033662129416335,0.004732121673590066,0.5015714226241659,0.004717994162871302,0.5402462934065997,0.006140695472000751,0.5037825254689065,0.004704675085411763,0.9898407658568799,9.533521514480798e-05,0.5037825254689065,0.004704675085411763
20,Logistic Regression,50,0.5716444612320583,0.00537081545001044,0.7024603392624132,0.00506918724236267,0.7686752283497011,0.004931085276659955,0.5732836342776776,0.0055744330031487765,0.5725246355648327,0.005614777385917773,0.5787160063574313,0.006204279329079434,0.5733704123763185,0.005318865128340511,0.9912569725426643,0.00010965115135272732,0.5733704123763185,0.005318865128340511
