few_shot_values,classifier,n_repeats_successful,mean_top1_accuracy,std_top1_accuracy,mean_top2_accuracy,std_top2_accuracy,mean_top3_accuracy,std_top3_accuracy,f1_macro,f1_macro_std,f1_weighted,f1_weighted_std,precision_macro,precision_macro_std,recall_macro,recall_macro_std,specificity_macro,specificity_macro_std,balanced_accuracy,balanced_accuracy_std
1,k-Nearest Neighbours,50,0.20308008955008305,0.04039793241751676,0.24263306131291976,0.04158280067732003,0.3680725066801473,0.03637328790941919,0.18381303143585664,0.020530599410170505,0.22837357062845892,0.045910947083791655,0.24892247057378059,0.022168229524309767,0.30090268659093067,0.02244868945448463,0.9764774722538868,0.0011126584456602987,0.30090268659093067,0.02244868945448463
1,Logistic Regression,50,0.21379865674875426,0.0339822290010448,0.3368224164078862,0.04103716224419894,0.4244673936592763,0.042769393660123486,0.18159924640089087,0.017465559341319065,0.24371692910638523,0.04026336330444947,0.22121862861572253,0.020210381890054512,0.3113883629478632,0.020867604570270305,0.9767859209786445,0.0009435816486272565,0.3113883629478632,0.020867604570270305
2,k-Nearest Neighbours,50,0.21439459127228022,0.03738456064467377,0.37833254998373045,0.041642481463950075,0.4490726345854876,0.03711399211101814,0.16961688905341443,0.01762670206914336,0.22869857974272112,0.03399179160220404,0.2521884113615541,0.021465434314988596,0.2812829768161973,0.021646709118940517,0.9764198500653805,0.0007928833296348036,0.2812829768161973,0.021646709118940517
2,Logistic Regression,50,0.29794641888716156,0.0346025584986129,0.443937235619509,0.04072551452495952,0.5391814599226292,0.04193299276613986,0.24382012164667935,0.017000049246672592,0.33730275684297856,0.04182059360091202,0.27009462774673176,0.017185757098084283,0.40727431268021563,0.01947615277003249,0.9792496202727885,0.0009944787565841797,0.40727431268021563,0.01947615277003249
3,k-Nearest Neighbours,50,0.23072183608456417,0.03124150964501524,0.39852809151462504,0.029680101492249412,0.5287438459310745,0.02530894745446895,0.19201003643690806,0.013555435059204967,0.23900188738527386,0.0335504518610561,0.287292289037381,0.020058461243819395,0.3240088120751951,0.02075731164413106,0.9767200517119354,0.0007443257674487338,0.3240088120751951,0.02075731164413106
3,Logistic Regression,50,0.3478134955111497,0.03086654524585272,0.5046394439617724,0.031985128232820854,0.6019765421372719,0.02950200942606061,0.2886987951398384,0.013893218903608007,0.38917247503039837,0.03514051391727983,0.30494403792889063,0.01428388529977604,0.4767736314387357,0.017787794706872532,0.9807116942738303,0.0008890346302547793,0.4767736314387357,0.017787794706872532
5,k-Nearest Neighbours,50,0.2692756568442444,0.03524914546228719,0.4325025402816084,0.030576086450438644,0.5468319059370009,0.031218524636697643,0.2449407002143077,0.01713906779748795,0.30454198468198557,0.035225918542790016,0.3132684326867299,0.0180642512203977,0.40822221656697555,0.017616129951671035,0.9784016990330826,0.000789200908310393,0.40822221656697555,0.017616129951671035
5,Logistic Regression,50,0.4078726956016839,0.026169277728820033,0.570881840615474,0.026426243775117115,0.6668420670634346,0.024030496535987027,0.33584081306364566,0.013041557851039205,0.4519520619382004,0.029815191023127168,0.3407368708906322,0.012310619766990652,0.5433282752250276,0.018895247177810777,0.9824785533506473,0.0007627409493603901,0.5433282752250276,0.018895247177810777
10,k-Nearest Neighbours,50,0.35323987880115354,0.024100838973861387,0.5243675391523382,0.02128065910248311,0.6332004526703903,0.019447349077934495,0.30861129345964267,0.013923451763431677,0.4012604630489317,0.028332554147224978,0.3496948697036234,0.014323120553340075,0.4935454701319115,0.02340054886468775,0.9809773130423268,0.0006611877902524794,0.4935454701319115,0.02340054886468775
10,Logistic Regression,50,0.4989508268535758,0.017051906765568444,0.6659569963129266,0.016246114114765023,0.755737597196364,0.01578528394208674,0.3980193881845415,0.012641565916378796,0.5407508957044908,0.018145961429839583,0.3897812740212255,0.01162223174142791,0.6136416459606996,0.025091168212030845,0.9851396511108672,0.0005004084312932197,0.6136416459606996,0.025091168212030845
20,k-Nearest Neighbours,50,0.418411432369558,0.018035602580027375,0.5904619474908607,0.018219191678187707,0.6914611720394371,0.01795414707078985,0.3488042825573024,0.01122182248654392,0.46547146913967813,0.020722175660168898,0.3720669627486284,0.010427341270296276,0.5477677695492469,0.027094764374812695,0.9828209613345023,0.0005202423489453652,0.5477677695492469,0.027094764374812695
20,Logistic Regression,50,0.5723570030648795,0.01666707480583884,0.7369875558509656,0.013846491629487145,0.8180598943909014,0.011179826150310124,0.4476475991429908,0.013278626217445999,0.6095573678770562,0.016487961029933152,0.4280412439600609,0.012020078244068234,0.6817769808356547,0.026414833083490706,0.9872905249445755,0.0004840483210084386,0.6817769808356547,0.026414833083490706
