few_shot_values,classifier,n_repeats_successful,mean_top1_accuracy,std_top1_accuracy,mean_top2_accuracy,std_top2_accuracy,mean_top3_accuracy,std_top3_accuracy,f1_macro,f1_macro_std,f1_weighted,f1_weighted_std,precision_macro,precision_macro_std,recall_macro,recall_macro_std,specificity_macro,specificity_macro_std,balanced_accuracy,balanced_accuracy_std
1,k-Nearest Neighbours,50,0.5685092502930533,0.03151905189501686,0.5750226797818664,0.03163142188977052,0.5847979205952805,0.03123314323356362,0.5411550211610282,0.027761992765435235,0.5624388083456346,0.032074176176595214,0.602748145721258,0.02297965319895291,0.5787806755796617,0.02611404637767309,0.990322267973324,0.0006904802968445905,0.5787806755796617,0.02611404637767309
1,Logistic Regression,50,0.582574792314357,0.031504658365881365,0.7387788593853525,0.032315305647887885,0.8155894194995157,0.02932530160177249,0.5561968472315316,0.026783287112416596,0.5777243528250104,0.03345677190442796,0.5862153401947824,0.02572899813724983,0.6041335987462576,0.023618717538205533,0.9906527382373563,0.000688339767914818,0.6041335987462576,0.023618717538205533
2,k-Nearest Neighbours,50,0.5455356321839081,0.0303125852848817,0.7923698595146871,0.025974271736733123,0.7962871008939976,0.02623064494242759,0.5168328435677316,0.025392181063002544,0.5411077769463675,0.031183099532485572,0.6062433355787357,0.02335111639071725,0.5615335850035891,0.02263230221807072,0.9899913538708602,0.0006440850524049784,0.5615335850035891,0.02263230221807072
2,Logistic Regression,50,0.7111417624521075,0.022800280653555455,0.8481614303959131,0.02357605024421167,0.9016347381864622,0.02116496797484524,0.7001211795049112,0.019455384496063554,0.7075634177555721,0.022403348210140013,0.7005500856386696,0.019275137944158437,0.7418764028839345,0.016150187658518392,0.993502061248691,0.0004977684752140036,0.7418764028839345,0.016150187658518392
3,k-Nearest Neighbours,50,0.6356771980132112,0.023573204954541706,0.8236417635311588,0.020044723600243595,0.885893798965641,0.0176870152770513,0.6146868948261921,0.020176965626263886,0.6293582245219492,0.022321471879265045,0.6742095092848698,0.01751709417066325,0.6516975016134819,0.018790492027532902,0.9916998430934469,0.0004860031754496189,0.6516975016134819,0.018790492027532902
3,Logistic Regression,50,0.7666198986123203,0.019017149605685818,0.8927144247017257,0.017774273968263567,0.9358082851144452,0.014872012648673662,0.7612341525451827,0.016464070115249682,0.7649325034386488,0.019682773983555227,0.7548868790717063,0.01746224801288112,0.796870054766443,0.013355180707739885,0.9947345328947363,0.00042649848352650533,0.796870054766443,0.013355180707739885
5,k-Nearest Neighbours,50,0.7113968204969904,0.01690915143899111,0.8640695580593714,0.015644848682226323,0.9183536553994958,0.014678330690017236,0.7014165568107488,0.013163851213073438,0.704798428744697,0.018810364528349534,0.725195697084296,0.012286192576669058,0.7370916256477302,0.011633273834081335,0.9934304068256316,0.000409487034581162,0.7370916256477302,0.011633273834081335
5,Logistic Regression,50,0.8273365231259969,0.012246336837096082,0.9344538766270515,0.011372155353398515,0.9647291248649482,0.008889624624004494,0.8270734144644214,0.011493099378274927,0.826909959527135,0.0129413796306194,0.8165315441482706,0.012435832763348918,0.8552386134910733,0.008533780214830172,0.9960943353184488,0.0002761810103261673,0.8552386134910733,0.008533780214830172
10,k-Nearest Neighbours,50,0.8075420419638674,0.012031981344267334,0.9263935023689279,0.00864517581541356,0.9576071224032906,0.005580759942592782,0.8020622568201654,0.009216029089401332,0.8028455483060094,0.01198271794652345,0.8048887799342097,0.0104235574183361,0.8297512544901733,0.007630195560806895,0.9955764042004611,0.00025219569487609404,0.8297512544901733,0.007630195560806895
10,Logistic Regression,50,0.8821627531629094,0.010464210654778434,0.9673212891133441,0.006990205751450013,0.9845171031394804,0.004018799911628778,0.8857553671425173,0.008800125876774548,0.8819689900219326,0.010721222373594276,0.8739828994503483,0.010291688343354565,0.9060441432911672,0.006298332907847066,0.997319196652038,0.0002388373903549547,0.9060441432911672,0.006298332907847066
20,k-Nearest Neighbours,50,0.8592564143596308,0.006853649504467106,0.9544780498213048,0.0044041522026140294,0.9723763802208353,0.0032393583201377496,0.8599860762483839,0.007647996051312826,0.8577449084936921,0.0070544683424048705,0.8539905254256484,0.008327788014004462,0.8839301803903856,0.005727563168316485,0.9967726203279146,0.0001530313615695481,0.8839301803903856,0.005727563168316485
20,Logistic Regression,50,0.9183965434469514,0.005595515580997974,0.9822563610177629,0.0024507267473951938,0.992356110310983,0.001311179573958695,0.9209534834897924,0.0042530251630723635,0.9184234603488359,0.0056818068329423715,0.9100063948058056,0.0050763535988538515,0.9359775115946184,0.003430797095007619,0.9981384062232572,0.00012872423323358689,0.9359775115946184,0.003430797095007619
