few_shot_values,classifier,n_repeats_successful,mean_top1_accuracy,std_top1_accuracy,mean_top2_accuracy,std_top2_accuracy,mean_top3_accuracy,std_top3_accuracy,f1_macro,f1_macro_std,f1_weighted,f1_weighted_std,precision_macro,precision_macro_std,recall_macro,recall_macro_std,specificity_macro,specificity_macro_std,balanced_accuracy,balanced_accuracy_std
1,k-Nearest Neighbours,50,0.5814619532654284,0.06766768420719706,,,,,0.5426578350571948,0.06742699491884264,0.5584993858881421,0.06766060633734,0.5863183299587182,0.08045460772770437,0.5635933666569004,0.060378927094864136,0.5635933666569004,0.060378927094864136,0.5635933666569004,0.060378927094864136
1,Logistic Regression,50,0.5826243259436789,0.09566741008408912,,,,,0.5502045433138183,0.09156604847939911,0.5605923170808622,0.09977327430319619,0.5948273572328042,0.09541066435181127,0.5730108997067171,0.07756956092576325,0.5730108997067171,0.07756956092576325,0.5730108997067171,0.07756956092576325
2,k-Nearest Neighbours,50,0.6063587282543491,0.04922438711618057,,,,,0.47481824398548406,0.11750940377569008,0.4576977210598356,0.13595561137695458,0.5799684807960598,0.09223083513347627,0.5579924346936052,0.0650703824623596,0.5579924346936052,0.0650703824623596,0.5579924346936052,0.0650703824623596
2,Logistic Regression,50,0.6093461307738453,0.08644845945769948,,,,,0.5848877556356188,0.0899765972385801,0.5955182715859246,0.09305125382161641,0.6121819001274375,0.08742132818899398,0.5992926735199443,0.07682025022063729,0.5992926735199443,0.07682025022063729,0.5992926735199443,0.07682025022063729
3,k-Nearest Neighbours,50,0.5701981981981982,0.0848497860273766,,,,,0.5268419962047318,0.08534071379827102,0.5404269929795861,0.09280227031941791,0.5744278207800726,0.08338357566046994,0.5554469830355231,0.06637673569604334,0.5554469830355231,0.06637673569604334,0.5554469830355231,0.06637673569604334
3,Logistic Regression,50,0.613141141141141,0.09155963721622737,,,,,0.5993497150264359,0.09280806542307982,0.6075773634485493,0.09372233873934387,0.6160939557212488,0.09405318928088954,0.6095274691284589,0.08866742823220085,0.6095274691284589,0.08866742823220085,0.6095274691284589,0.08866742823220085
5,k-Nearest Neighbours,50,0.6070198675496689,0.06007871346036148,,,,,0.5684310525003766,0.07662520855705843,0.5827678579314088,0.07612860646465562,0.6135012962232039,0.05457853044090501,0.5920674957930951,0.0576357578098395,0.5920674957930951,0.0576357578098395,0.5920674957930951,0.0576357578098395
5,Logistic Regression,50,0.6516797110174594,0.06937265248029839,,,,,0.6428764865734543,0.06837295536438437,0.6492360034264886,0.07094179127725572,0.6564839406447248,0.06591186109423544,0.6514601173450021,0.06244906636589796,0.6514601173450021,0.06244906636589796,0.6514601173450021,0.06244906636589796
10,k-Nearest Neighbours,50,0.6641913991520291,0.05281551491411989,,,,,0.6474893298264601,0.058370691652275396,0.6588623965666099,0.05580069288780034,0.6605888602156773,0.05340616614783633,0.6519883394012027,0.05398702556833372,0.6519883394012027,0.05398702556833372,0.6519883394012027,0.05398702556833372
10,Logistic Regression,50,0.685160508782556,0.04645365250092355,,,,,0.6777085223180345,0.0455154030953536,0.6848387338461822,0.04636670668379424,0.6841949316757439,0.045418528800254106,0.6829674907468776,0.04306298036091431,0.6829674907468776,0.04306298036091431,0.6829674907468776,0.04306298036091431
20,k-Nearest Neighbours,50,0.6862170447578174,0.03833104244515964,,,,,0.6780171862461957,0.036457047804719936,0.6858979736070353,0.03784518657422134,0.6833451606983039,0.03499231133263538,0.6821782672923183,0.03368691667103677,0.6821782672923183,0.03368691667103677,0.6821782672923183,0.03368691667103677
20,Logistic Regression,50,0.7198160637645615,0.032724913952344975,,,,,0.7146560075184734,0.0317739300683491,0.7208949472474739,0.03201023753362131,0.7169435271084916,0.031460870999493774,0.7199148418491486,0.030784232296245453,0.7199148418491486,0.030784232296245453,0.7199148418491486,0.030784232296245453
