few_shot_values,classifier,n_repeats_successful,mean_top1_accuracy,std_top1_accuracy,mean_top2_accuracy,std_top2_accuracy,mean_top3_accuracy,std_top3_accuracy,f1_macro,f1_macro_std,f1_weighted,f1_weighted_std,precision_macro,precision_macro_std,recall_macro,recall_macro_std,specificity_macro,specificity_macro_std,balanced_accuracy,balanced_accuracy_std
1,k-Nearest Neighbours,50,0.5397176494572142,0.029917693258857285,0.5460353702665511,0.02935848657416487,0.5581438254930942,0.0295971266909612,0.511070355059109,0.025604505076917368,0.5359115476239986,0.03267421440691304,0.571970102520702,0.02333554527089237,0.5497914580828384,0.0243271577638162,0.9897010553734359,0.0006524123710679688,0.5497914580828384,0.0243271577638162
1,Logistic Regression,50,0.5697874726058814,0.03520801704340059,0.7200479078538301,0.031463879575717404,0.7951653840273177,0.02861752500081921,0.5382656984155156,0.028722745885488364,0.563942702499716,0.035707984482607466,0.5725874639255897,0.02427880000174136,0.5802295866435341,0.02978764269909681,0.990360759027276,0.000771793060611499,0.5802295866435341,0.02978764269909681
2,k-Nearest Neighbours,50,0.5327346104725416,0.023352625418556514,0.7672143039591315,0.024788478709877132,0.7715034482758623,0.02433732064508331,0.47047334284437625,0.02425529242804001,0.5003020574741189,0.033676266586598884,0.5808642310097049,0.01990327515131943,0.5142231546550218,0.023210826772116104,0.9890336435948233,0.0006643171002505123,0.5142231546550218,0.023210826772116104
2,Logistic Regression,50,0.7015121328224777,0.02073408407859285,0.8384326947637293,0.021653695328875202,0.8945144316730524,0.017896990645244092,0.6816069667607575,0.017712641491439907,0.7018791227767377,0.022272604269344878,0.6889895624261563,0.018338667457444845,0.7186630691999948,0.014255596969515472,0.9932919551225631,0.00046330223171287167,0.7186630691999948,0.014255596969515472
3,k-Nearest Neighbours,50,0.6046996774028368,0.023899242239319995,0.7969348148906754,0.02066598677634038,0.8627395155921963,0.017706790046071768,0.5722374845370639,0.022084288456930185,0.5954878206012072,0.02845211286197946,0.6426985785053841,0.01995263955352437,0.6105589593321705,0.01969896867358171,0.9909112842697644,0.0005596232797714574,0.6105589593321705,0.01969896867358171
3,Logistic Regression,50,0.7595524604434432,0.017527641573485638,0.8808756208715245,0.017890423309725324,0.9254175841056889,0.015652983287485364,0.7454728361236702,0.014532822159469126,0.7587580744902173,0.017838299513967062,0.7434336179719717,0.015214723851058593,0.7793596758127174,0.012310892073162397,0.9945850026515453,0.0003902776358187672,0.7793596758127174,0.012310892073162397
5,k-Nearest Neighbours,50,0.6950023151720944,0.01926273629815069,0.8461244019138756,0.01692577871129847,0.9070864845397952,0.013166041047520437,0.6599837410847154,0.014241544013498805,0.6783859405728032,0.020195951078541833,0.6942381758040692,0.012326597670115251,0.692856503009642,0.012751311812297106,0.9927900534098241,0.0003848653800148037,0.692856503009642,0.012751311812297106
5,Logistic Regression,50,0.8184483202140248,0.01381498849206822,0.9231795030097237,0.013268628646550434,0.9557503729999486,0.010075414585018663,0.8094567008035297,0.011844496077390028,0.8178593380448131,0.014494979980083735,0.7995779919914616,0.013096288031609497,0.8393281879738116,0.00902734200045412,0.9959028792637512,0.0003139704088574106,0.8393281879738116,0.00902734200045412
10,k-Nearest Neighbours,50,0.7837996563752799,0.010669230172610778,0.9089134169833915,0.009507043257040926,0.9452668298016349,0.008303458159993076,0.7622350981716961,0.010800751266590787,0.7748860054984903,0.013927426836341506,0.7695046357078852,0.009988248062751483,0.7913333937461953,0.008535392278924829,0.9948717281325773,0.0003106422538518401,0.7913333937461953,0.008535392278924829
10,Logistic Regression,50,0.8843432082053418,0.009884436487155798,0.9644348414640495,0.0061863952676176346,0.9825678138178788,0.004271837243513414,0.8797126562810226,0.008285465611598463,0.8843503822461213,0.010058446264694508,0.868744235770355,0.009736072512290627,0.899474065634194,0.006120114597690618,0.9973824943642581,0.00022524647839891688,0.899474065634194,0.006120114597690618
20,k-Nearest Neighbours,50,0.8489496986184456,0.0071891446785300565,0.9458996106043632,0.0043910990773087044,0.9670699311889903,0.0037057300208792505,0.8306661372879263,0.006602969039511709,0.8436430760361765,0.007935608621229988,0.8263414956148835,0.007256563512023164,0.8566410422007459,0.005655925856992571,0.9964191194934726,0.00018070443097813456,0.8566410422007459,0.005655925856992571
20,Logistic Regression,50,0.9257545207233158,0.00542804961998187,0.9827769776497572,0.002667171066239995,0.9923134368165573,0.0014581465762881038,0.9229431569832967,0.004591303820690992,0.9258530563465857,0.0054527440630691435,0.9136578544151525,0.005919174798112052,0.9355090110124823,0.0038406277497700704,0.9983123754424734,0.00012513759845323265,0.9355090110124823,0.0038406277497700704
