few_shot_values,classifier,n_repeats_successful,mean_top1_accuracy,std_top1_accuracy,mean_top2_accuracy,std_top2_accuracy,mean_top3_accuracy,std_top3_accuracy,f1_macro,f1_macro_std,f1_weighted,f1_weighted_std,precision_macro,precision_macro_std,recall_macro,recall_macro_std,specificity_macro,specificity_macro_std,balanced_accuracy,balanced_accuracy_std
1,k-Nearest Neighbours,50,0.34315302226577016,0.028343706105685672,0.35677467310876104,0.02675288036749673,0.3757681521775855,0.026910105965422405,0.33306123947360944,0.027823521315028295,0.3340096252689446,0.02819901922138601,0.40107950794807756,0.03330742155584746,0.34243776046595814,0.028032699894035545,0.9865943692232648,0.0005786195034665727,0.34243776046595814,0.028032699894035545
1,Logistic Regression,50,0.35525728959016123,0.0244735174802802,0.4731188971855256,0.027887189994657953,0.544524445045106,0.027755669390938455,0.3457409798552209,0.024945918548029876,0.3462958112190701,0.024999170119620565,0.39277584798167375,0.02730985076385316,0.3548956571913154,0.024008399213134402,0.9868409089239428,0.0004988235623656378,0.3548956571913154,0.024008399213134402
2,k-Nearest Neighbours,50,0.34488096848370076,0.018874784752630033,0.5373938184769377,0.018766093458589914,0.5487839848505343,0.018419930417325186,0.3207063851105611,0.02257526493622028,0.32246050904896306,0.022439230963086,0.40090162831047654,0.024727513055965905,0.33565121297002487,0.021840873973565916,0.9864904812717746,0.00044601970624873167,0.33565121297002487,0.021840873973565916
2,Logistic Regression,50,0.46088664953334235,0.018455895222314833,0.5911849046395239,0.01728585941284764,0.6625605302312999,0.017035406521199527,0.45534408297798024,0.019879001994822235,0.45569693969753805,0.01990642450637716,0.48609373500241254,0.022196057619180726,0.4611406413391959,0.018078020038708117,0.9889967072497596,0.0003764920636889942,0.4611406413391959,0.018078020038708117
3,k-Nearest Neighbours,50,0.3900504281314516,0.018338465068438673,0.5565634412969167,0.01661642810569695,0.6517802145733915,0.01717174745983398,0.38063815773241616,0.01863780220153628,0.38127286050878345,0.018907388480732305,0.475927414032798,0.022532515950003672,0.3891579880936702,0.017461759780972926,0.987570010143934,0.00036082530386120156,0.3891579880936702,0.017461759780972926
3,Logistic Regression,50,0.5201770061258334,0.015010458597632765,0.6529783057501608,0.014884872322754237,0.7204044403831183,0.014374789877393383,0.5181222396931694,0.015620219825752733,0.5173277448227891,0.015802823794329422,0.541961331019149,0.016408758236993243,0.5211356904486025,0.014785454401026007,0.990206258828955,0.000306366130981876,0.5211356904486025,0.014785454401026007
5,k-Nearest Neighbours,50,0.4578811404549616,0.011798187711463895,0.6012943689188731,0.011750217186660132,0.6853385090009155,0.012363987813426056,0.45622001377646476,0.01351518778726312,0.45601736283690353,0.013479342850611966,0.522260713203291,0.013340627913244562,0.4610058659857364,0.011913422357807329,0.9890151836645501,0.00024402625195567504,0.4610058659857364,0.011913422357807329
5,Logistic Regression,50,0.5872431094687596,0.013241185587147207,0.7165128657151576,0.011258390261336012,0.7796016544055329,0.010268257585447416,0.5869199066079621,0.013993423680631709,0.5863426651716166,0.013995681478031007,0.6027746821142989,0.015092715539175797,0.5882872472476459,0.01302298358965839,0.9915752846573745,0.0002702042860927941,0.5882872472476459,0.01302298358965839
10,k-Nearest Neighbours,50,0.5481601525262154,0.009198305302176428,0.6814381043170366,0.007697406883699578,0.750008171047256,0.00762355485602942,0.553276156725068,0.009450327145442448,0.5524443769134588,0.009309851625989764,0.5939967530869804,0.010405250502768396,0.5537362483772059,0.008923636146808325,0.9908897353671847,0.00018198024176349086,0.5537362483772059,0.008923636146808325
10,Logistic Regression,50,0.6631380226065641,0.005989035320258413,0.7822020972354623,0.005375802884343727,0.8376600163420946,0.005096727398557579,0.6646421782462564,0.006243648434611055,0.6636313496991452,0.006389790227767395,0.6742209457776557,0.006702013840018906,0.6644969049875122,0.006012677747157505,0.9931241845246805,0.0001223195549920052,0.6644969049875122,0.006012677747157505
20,k-Nearest Neighbours,50,0.6218690337202115,0.006690210588962924,0.7400830986882768,0.005187950238792776,0.7968412196964494,0.004570748124126419,0.6275614764699163,0.007042253710413546,0.6261485405195167,0.0069482097938089035,0.6517043445662669,0.006217364340851917,0.6264848583744613,0.0069662699485250204,0.9923566100649469,0.0001413624656495223,0.6264848583744613,0.0069662699485250204
20,Logistic Regression,50,0.7167800975207745,0.005080162185581969,0.8260037085365016,0.004258967657822413,0.8733713343863745,0.003759319109815612,0.7191955020527017,0.005189993313383962,0.7180612457833366,0.005220111968300378,0.7260274040597485,0.00558328840970092,0.7180996086631501,0.005032055701660447,0.9942189878501547,0.00010369872220171699,0.7180996086631501,0.005032055701660447
