few_shot_values,classifier,n_repeats_successful,mean_top1_accuracy,std_top1_accuracy,mean_top2_accuracy,std_top2_accuracy,mean_top3_accuracy,std_top3_accuracy,f1_macro,f1_macro_std,f1_weighted,f1_weighted_std,precision_macro,precision_macro_std,recall_macro,recall_macro_std,specificity_macro,specificity_macro_std,balanced_accuracy,balanced_accuracy_std
1,k-Nearest Neighbours,50,0.5622655524605386,0.0650706978117122,0.5983472609099351,0.07151227706515073,0.6352460538532962,0.06765747534272615,0.5364322859045682,0.052601140438957875,0.5635347286856076,0.06870341539249122,0.5900373765226881,0.048246022349633495,0.5680318183323297,0.049652339958390135,0.9376386746419614,0.008651580661925866,0.5680318183323297,0.049652339958390135
1,Logistic Regression,50,0.5789229340761374,0.06259205745417072,0.7802785515320335,0.057086910322441245,0.885125348189415,0.03979293416431369,0.5497791007629177,0.05076546833821226,0.5799502042894573,0.06406178782838938,0.5858351517380963,0.04671871597494663,0.5832816088225422,0.0449242163941874,0.9399601099318546,0.008199644383732859,0.5832816088225422,0.0449242163941874
2,k-Nearest Neighbours,50,0.5222825070159027,0.06025438426747902,0.8016463985032739,0.052953606993367555,0.8200748362956034,0.052350185272711076,0.4985170863251927,0.06550515488054531,0.524221228927082,0.07419664338492526,0.5891947622229936,0.056455512121209896,0.552698102061024,0.04788208224187372,0.9340230673973124,0.008728887209441276,0.552698102061024,0.04788208224187372
2,Logistic Regression,50,0.6541253507951356,0.04298114424649775,0.8424695977549113,0.03756845396176385,0.9261178671655753,0.028525963701287165,0.6376258589740462,0.03969919803044413,0.6594273693437737,0.04164375689329321,0.6558623835075862,0.039967407467260345,0.6671023254775933,0.03934779841458388,0.9505963967613847,0.005773498256080564,0.6671023254775933,0.03934779841458388
3,k-Nearest Neighbours,50,0.5886710650329877,0.045791137297061954,0.7876343072573044,0.047519348276674554,0.9133270499528747,0.033921854651958794,0.581461667542521,0.03702924008633529,0.6026423634492623,0.04897227430369629,0.6439947235727818,0.04289987588017857,0.6307990849461997,0.028885259592556247,0.9440310635113494,0.005251603857180731,0.6307990849461997,0.028885259592556247
3,Logistic Regression,50,0.7094062205466539,0.04413648599822336,0.8829594721960415,0.03653704478692872,0.9507822808671065,0.023242530075277455,0.7008579874298448,0.040650881486162624,0.7152281726773512,0.04368218831910571,0.7112614512795525,0.03901522878911001,0.7297092669340188,0.03142281875563412,0.9584626123439599,0.00575396217196551,0.7297092669340188,0.03142281875563412
5,k-Nearest Neighbours,50,0.6777416267942584,0.036260523663311006,0.8758277511961724,0.030485677379102134,0.9538564593301436,0.015734909344637883,0.6583799556571386,0.03582761168170448,0.6801798954139013,0.038556583065960874,0.6881826687494749,0.04171580533899591,0.6862029489731891,0.03053982037770847,0.9532967468363575,0.005004119310227197,0.6862029489731891,0.03053982037770847
5,Logistic Regression,50,0.7683062200956938,0.03203249191757037,0.9248612440191388,0.024000061048585777,0.9752918660287081,0.013285509036131134,0.7632655571064833,0.03004759244538442,0.7746670266450806,0.03151148475774366,0.763748042275038,0.029414395515405253,0.7875863808143141,0.02843688510602559,0.9667327470177876,0.004366252186544472,0.7875863808143141,0.02843688510602559
10,k-Nearest Neighbours,50,0.7641990049751243,0.028493516771495142,0.9263880597014925,0.02011574143276274,0.9733930348258706,0.010080363209359719,0.7548058562304045,0.023420901023555225,0.7648927142622179,0.02920831498543897,0.7772844186334005,0.025842304800878606,0.7758944563496614,0.021391157241245743,0.9651395289889072,0.004012063937706761,0.7758944563496614,0.021391157241245743
10,Logistic Regression,50,0.8368955223880599,0.0290764179914886,0.9644975124378109,0.013674176190098596,0.990587064676617,0.005497762313944845,0.8376704726385509,0.026265290583490163,0.8426664974946525,0.026884425148014483,0.8340189025791895,0.025080824462767923,0.8581751788682852,0.02205519219657032,0.9765358397867265,0.00389019211714683,0.8581751788682852,0.02205519219657032
20,k-Nearest Neighbours,50,0.8124324324324325,0.02089397213516613,0.9506594594594594,0.01292198990978688,0.9800216216216215,0.008687049881660476,0.8155177376473918,0.0183861956629004,0.8190806130935527,0.023431377316605023,0.8237275532908244,0.017051836417969167,0.8412231366154822,0.019605306849120697,0.9728082699682843,0.003457908023671616,0.8412231366154822,0.019605306849120697
20,Logistic Regression,50,0.8820756756756757,0.016854938173506438,0.9821837837837838,0.005341197027163505,0.9963675675675675,0.0018187883973892417,0.883369028366192,0.01458853459152882,0.8867164551901509,0.015039871137239305,0.877144583784267,0.014032136300969361,0.9000821753188404,0.015770045004448684,0.9829302739932618,0.002378373550411128,0.9000821753188404,0.015770045004448684
