few_shot_values,classifier,n_repeats_successful,mean_top1_accuracy,std_top1_accuracy,mean_top2_accuracy,std_top2_accuracy,mean_top3_accuracy,std_top3_accuracy,f1_macro,f1_macro_std,f1_weighted,f1_weighted_std,precision_macro,precision_macro_std,recall_macro,recall_macro_std,specificity_macro,specificity_macro_std,balanced_accuracy,balanced_accuracy_std
1,k-Nearest Neighbours,50,0.5606590772917915,0.1040555681855744,,,,,0.5155120353622964,0.10151468912955074,0.531012832019917,0.10906804387943474,0.5637024898827829,0.10692319369757332,0.541498347139234,0.08681552548606163,0.541498347139234,0.08681552548606163,0.541498347139234,0.08681552548606163
1,Logistic Regression,50,0.5896105452366686,0.09272765219799167,,,,,0.550198326637259,0.10085849765235406,0.5647035389930728,0.10392010469157713,0.5997076432164927,0.10043407824369102,0.5726994752869942,0.0817757389767615,0.5726994752869942,0.0817757389767615,0.5726994752869942,0.0817757389767615
2,k-Nearest Neighbours,50,0.6094061187762447,0.051688447750728825,,,,,0.4680989776903748,0.11536551290786429,0.4484842305294795,0.13223512525645167,0.5668256652461963,0.09349496548289572,0.5542924065091303,0.06574783853046318,0.5542924065091303,0.06574783853046318,0.5542924065091303,0.06574783853046318
2,Logistic Regression,50,0.6048830233953209,0.0935297883327281,,,,,0.583482356293213,0.09827402857282946,0.5914311468188445,0.10198477948471252,0.6130145554030458,0.09070224287366795,0.6013176538649815,0.08504647743316004,0.6013176538649815,0.08504647743316004,0.6013176538649815,0.08504647743316004
3,k-Nearest Neighbours,50,0.6014054054054053,0.07750713960677014,,,,,0.5674641047248108,0.08081326743625152,0.5802231721330429,0.08401386365575354,0.6135295995422521,0.07777352738709777,0.5881561094720312,0.06583784733382543,0.5881561094720312,0.06583784733382543,0.5881561094720312,0.06583784733382543
3,Logistic Regression,50,0.625069069069069,0.06773654519437926,,,,,0.6078650726401436,0.06834984151419896,0.6191891650996562,0.06792807572341306,0.6230833538634626,0.07023563184028465,0.6139101275309905,0.06406855670095382,0.6139101275309905,0.06406855670095382,0.6139101275309905,0.06406855670095382
5,k-Nearest Neighbours,50,0.625105358217941,0.0659199633598742,,,,,0.592471684709776,0.07683673451048846,0.6076469310028636,0.07554545073049637,0.6275660933053847,0.06960542962444058,0.606000122545723,0.06079989747030382,0.606000122545723,0.06079989747030382,0.606000122545723,0.06079989747030382
5,Logistic Regression,50,0.6425406381697772,0.061081491342383804,,,,,0.6290000753628224,0.05975716483726302,0.6376275210554655,0.06322746917240676,0.6450914605024277,0.05691127754814843,0.6366290959413454,0.05244631706705628,0.6366290959413454,0.05244631706705628,0.6366290959413454,0.05244631706705628
10,k-Nearest Neighbours,50,0.6415263476680799,0.047928288963817206,,,,,0.6255103528979064,0.048428098743399,0.6372648879967253,0.048141661033921326,0.6352837207682438,0.04814169178214185,0.6288884752851596,0.04543133144410004,0.6288884752851596,0.04543133144410004,0.6288884752851596,0.04543133144410004
10,Logistic Regression,50,0.6740278619018776,0.05773243516099451,,,,,0.6680010387640806,0.05584381217994799,0.674279980797654,0.05704261835101775,0.6745081591766103,0.054188690527051914,0.6744215398769478,0.053276318358713305,0.6744215398769478,0.053276318358713305,0.6744215398769478,0.053276318358713305
20,k-Nearest Neighbours,50,0.6672225628448802,0.04968315014106488,,,,,0.6581439549239835,0.04630765021868276,0.6661728447739564,0.0491520853255938,0.6658605649970708,0.04372379501729095,0.6629398027459158,0.04101845002680758,0.6629398027459158,0.04101845002680758,0.6629398027459158,0.04101845002680758
20,Logistic Regression,50,0.7179031269160024,0.03135661781409066,,,,,0.7129061839145888,0.0300592129747628,0.7189615105731793,0.030869812096900817,0.7155936073865304,0.02867663075600398,0.7185731664928745,0.028017510708994144,0.7185731664928745,0.028017510708994144,0.7185731664928745,0.028017510708994144
